rating,rating_raw,date,content
,,2026-01-20,"Rewatched by rebeccabailey 20 Jan 2026
TRY EVERYTHING
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by bogusbogey 20 Jan 2026
Disney makes a buddy cop movie with animals, genius.
3 likes"
4,★★★★,2026-01-20,"★★★★
Watched by Violaharlot 20 Jan 2026
Was it a great movie? Yes. Did it change
my mind about the criminal justice system? No.
No likes yet"
5,★★★★★,2026-01-17,"★★★★★
Rewatched by Lmranks 17 Jan 2026
I still love this movie so much
No likes yet"
4,★★★★,2026-01-19,"★★★★
Watched by Koloshow 19 Jan 2026
They’ve got a great world established here, and lots of tiny cool details in the backgrounds. We’ve got a very dynamic and fun duo with Judy and Nick. The themes of the movie are pretty in-your-face, but they’re also effective. Overall story and villain are a bit lackluster, but that doesn’t detract from the whole thing still being a fun adventure!
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Watched by imfroggiee 20 Jan 2026
1/10 . I know I have watched this movie but I don’t remebver much from it so I’m going to rewatch it
No likes yet"
4,★★★★,2026-01-01,"★★★★
Watched by madisonmariana1 01 Jan 2026
new years day hangover movie 💕 this was too cute, i can't wait to see the second one. i didn't realize nick and judy don't actually become an interspecies couple by the end and i honestly felt scammed
1 like"
4,★★★★,2026-01-20,"★★★★
Watched by XdRandom865 20 Jan 2026
Muy Buena Peli Y Gran Historia
No likes yet"
4.5,★★★★½,2026-01-21T02:25:11.354Z,"★★★★½ Added by Kayeah 21 Jan 2026
Oh there’s a THEM now...
I. LOVE. THAT. LINE.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by truescallywag 20 Jan 2026
They travelled to Agartha in this one??
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by natalie 20 Jan 2026
had to watch again bc i’m gearing up to watch the new one. what an absolute banger
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by brynn 20 Jan 2026
peak
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by ale 20 Jan 2026
solo pienso en el cómic del aborto
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by rebelle12 20 Jan 2026
Try everything!
No likes yet"
2,★★,2026-01-20,"★★ Watched by PedroSchmit 20 Jan 2026
I'm not a furry buuuuuttttt...
No likes yet"
5,★★★★★,2026-01-01,"★★★★★
Rewatched by Xstatic_Donkey 01 Jan 2026
Surprisingly profound and clever writing in this buddy cop comedy set in a city of talking animals.
No likes yet"
1.5,★½,2026-01-20,"★½ Rewatched by Alex Rudolph 20 Jan 2026
Every time I rewatch this with Jasper, I think “this can’t be as racist as I remember, I was probably being a crabby asshole,” but it’s that racist. You can’t follow the premise as a metaphor for people without immediately running into, like, “some races are naturally more vicious than others.”
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by fartharbor 20 Jan 2026
Microdosing being a furry with my crush on the police chief ram bull
No likes yet"
4,★★★★,2026-01-20,"★★★★ Watched by bluesthegoat 20 Jan 2026
foda
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by carol ! 20 Jan 2026
Que filme maravilhoso. Animação linda, personagens divertidos, dublagem ótima, trilha sonora tbm, e temas retratados de maneira interessante, além dos plots twist. Esse filme é, ao meu ver, muito subestimado. Pouco se falava dele antes do lançamento do segundo, e acho que merecia mais reconhecimento!
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by alves 𖹭.ᐟ 🍸 20 Jan 2026
""Desistir nunca foi uma opção.""
essa frase veio na cabeça vendo a judy correndo atrás do sonho dela, ameii
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by Ley 20 Jan 2026
PEAK CINEMA THIS IS PEAKKKK CINEMA.
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by samu 20 Jan 2026
top plots da história
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Rewatched by anxbri 20 Jan 2026
sexy furry want him to breed me
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Rewatched by anxbri 20 Jan 2026
sexy furry want him to breed me
No likes yet"
4.5,★★★★½,2026-01-21T01:45:36.402Z,"★★★★½
Added by Holly 21 Jan 2026
The godfather sequence will be one of my favorite bits ever.
I turn to this movie for motivation lol
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by MangOthekat 20 Jan 2026
BEST DISNEY MOVIE EVER
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by Mor4ngo 20 Jan 2026
Kejskssjwnsjawbaja que delícia
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by BeepBeepRichiee 20 Jan 2026
Apaixonada no Nick, amo a jude mas me irrita as vzs, filme louco ta
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½
Watched by lulun3 20 Jan 2026
I didn’t remembered how rushed the ending was but still a good plot twist
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Watched by emma ୨ৎ 20 Jan 2026
absolutely peak
No likes yet"
4,★★★★,2026-01-20,"★★★★
Rewatched by Aure🪐 20 Jan 2026
Me gusta mucho esta película por lo diferente que es a las demás de Disney. Siento que destaca por ello. No solo tiene un worldbuilding mayor, con las distintas partes de la ciudad y otros lugares más que enseñan, si no también por la temática policiaca que sigue y el misterio tan interesante.
Como digo, la trama me parece muy buena, siguiendo un caso oscuro en el inicio de la carrera de la protagonista que no deja de ser una… more
No likes yet"
3.5,★★★½,2026-01-19,"★★★½ Watched by ernesto_ruiz 19 Jan 2026
Talk about a wolf in sheep’s clothing
No likes yet"
,,2026-01-20,"Rewatched by senoriitawesome 20 Jan 2026
i forgot to log the movies that i logged with matthew 💔
No likes yet"
4.5,★★★★½,2026-01-18,"★★★★½ Watched by Liz 18 Jan 2026
Going to see Zootopia 2 tomorrow and I’ve never seen Zootopia 1 so it was really a now or never situation
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Watched by omsimms 20 Jan 2026
nick wilde the fox that u are
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by Sîana 20 Jan 2026
First time I’ve rewatched since I first saw it in the cinema 10 years ago (wtf) and still just as fun! Needed a rewatch before watching number 2 ☺️
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by molli 20 Jan 2026
“i thought he was gonna take his clothes off and go crazy” - my mom when nick and judy got locked in the cell
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½ Watched by matteoharris 20 Jan 2026
This review may contain spoilers. I can handle the truth.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by amelimelo910 20 Jan 2026
J'adore l'humour bestial.
No likes yet"
3,★★★,2026-01-20,"★★★ Watched by xluiz 20 Jan 2026
fofo mas requentado
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by ribas 20 Jan 2026
nostalgia will kill me someday
1 like"
4.5,★★★★½,2026-01-20,"★★★★½ Watched by matth3wasf 20 Jan 2026
It’s just one of those movies to make you smile! But WHY is it like two hours long. 90 minutes.
No likes yet"
4,★★★★,2026-01-21,"★★★★
Watched by YoMath Fernandes 21 Jan 2026
Mon rêve d’être le renard ptn
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by Morgana 20 Jan 2026
propaganda policial infantil. não caiam nessa.
No likes yet"
5,★★★★★,2026-01-21,"★★★★★
Watched by ervaal 21 Jan 2026
İyiki nick i cem yılmaz seslendiriyo sırf nick için Türkçe dublaj izledim
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by Jordan 20 Jan 2026
my mom goes “so this is a DEI movie huh” in the most snarky tone… and then proceeded to love it, laugh through the credits, and cheer for Judy the whole time…
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Watched by ringogiresi 20 Jan 2026
Classic film. Must watch.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by Letícia Modesto 🎧 20 Jan 2026
fofura demais
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by soph 🤓☝️ 20 Jan 2026
amo eternamente
No likes yet"
4,★★★★,2026-01-15,"★★★★ Watched by bea 15 Jan 2026
Omg fire
No likes yet"
4,★★★★,2026-01-18,"★★★★ Watched by kevinham 18 Jan 2026
1
bom voyagey
1 like"
,,2026-01-20,"Watched by bah__bah 20 Jan 2026
Eles nunca vão ter nem um beijinho
No likes yet"
4,★★★★,2026-01-20,"★★★★
Rewatched by Good Takes Dan 20 Jan 2026
Zootropolis is a better title
1 like"
4,★★★★,2026-01-20,"★★★★ Rewatched by Meg 20 Jan 2026
Gazelle’s Try Everything going platinum in my bedroom
2 likes"
4,★★★★,2026-01-21,"★★★★ Watched by Harry Thorn 21 Jan 2026
Actually heaps of fun, great ideas, good modern messaging is there but not forced down your throat. Me liked it
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by Maria De Miranda ♡ 20 Jan 2026
I LOVE ITTTTTT. I CANT STOP REWATCHING OMGGG!!!!!!MY ENTIRE CHILDHOOD!!!!♡♡♡
No likes yet"
4,★★★★,2026-01-20,"★★★★ Watched by nat 20 Jan 2026
the italian rats with the snooki bumps made my jersey heart happy
No likes yet"
5,★★★★★,2026-01-21,"★★★★★
Watched by Rawan 21 Jan 2026
Gosh i'm simping over a fox
No likes yet"
1.5,★½,2026-01-20,"★½ Rewatched by jnnnpringle 20 Jan 2026
Meh. Feel the messages in this film are a bit overt/ maybe not worth shoving down peoples throats. And not a fan of the gazelle/shakira song. Has some funny moments and interesting world creation.
No likes yet"
4,★★★★,2026-01-21T00:31:55.473Z,"★★★★ Added by mary 21 Jan 2026
yo si pense que judy moria ok 😭
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by mariellylivia 20 Jan 2026
eu amei isso vey
No likes yet"
5,★★★★★,2025-12-07,"★★★★★
Rewatched by cattzlu_ 07 Dec 2025
me encanta
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by Abby 20 Jan 2026
me encantó
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Watched by agthvlrn 20 Jan 2026
Lui je l’ai vu jsp cmb de fois mais bcpp
C’était vrm LE film a voir pndt les vacances d’été avec mes cousins 
Le prime
No likes yet"
4,★★★★,2026-01-21T00:17:04.971Z,"★★★★ Added by grace 21 Jan 2026
eh CINTA bgt 😚
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by 444krishika 20 Jan 2026
cinematic masterpiece.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½
Rewatched by Artfreakaccount 20 Jan 2026
Finished today! It's good! Better kid animated movie then most!
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½ Rewatched by toepqc 20 Jan 2026
-0.5 is only for the constant nick wilde is fit comments i was hearing during the film
it’s the films fault they brainswashed people into thinking he’s fit. flash is were it’s at.
2 likes"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by ajjj 20 Jan 2026
nick wilde you will forever be sexy to me ❤️‍🔥
2 likes"
3,★★★,2026-01-20,"★★★
Watched by Hunter 20 Jan 2026
Cops? 🤨
No likes yet"
5,★★★★★,2026-01-12,"★★★★★ Rewatched by r 12 Jan 2026
Omg wait I reviewed the wrong zootopia but this one is also peak I think moreso than 2 🙂‍↕️
1 like"
3.5,★★★½,2026-01-20,"★★★½
Rewatched by Jo 20 Jan 2026
(Psych ward series in which I rate movies I watched in the psych ward)
unfortunately heavy copaganda. but other than that, it's pretty goooood!
No likes yet"
3.5,★★★½,2026-01-20,"★★★½
Watched by dudaa 20 Jan 2026
nick de focinheira é meu maior trauma cinematográfico, nunca vou superar.
No likes yet"
4,★★★★,2026-01-21,"★★★★ Watched by Timmytimlegoat 21 Jan 2026
Boulot
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by totopoiro 20 Jan 2026
Premier film sur un condé que j’aime bien
No likes yet"
4,★★★★,2026-01-20,"★★★★ Watched by Arsh S 20 Jan 2026
Actually good! Watched this on Keenna’s birthday!! 
We are watching the 2nd one in theaters so we crammed this. Great messages, def not for little little kids but very fun. 
AS: 8.4
KS: 9.0
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by manuellabarbosa 20 Jan 2026
Que perfeição de filme infantil!! O Nick é uma delicia msm sendo uma raposa 🫦😫
No likes yet"
,,2026-01-20,"Rewatched by Maria 🩶 20 Jan 2026
fofos quero ver o segundo
No likes yet"
5,★★★★★,2026-01-19,"★★★★★
Watched by Júlia 19 Jan 2026
reassisti pra assistir o dois e não lembrava que era tão bom assim.
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by SaraNavarro7 20 Jan 2026
""Try to make the world a better place. Look inside yourself and recognize that change starts with you. It starts with me. It starts with all of us.""
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by Sofia 20 Jan 2026
puta repertório p redação do enem
No likes yet"
4,★★★★,2026-01-20,"★★★★ Watched by Gailans 20 Jan 2026
anti fascist furries? I say yes.
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by maridone 20 Jan 2026
coelha fofa dimais cara viva as coelha pm
No likes yet"
4,★★★★,2026-01-20,"★★★★ Watched by Gavin omara 20 Jan 2026
The DMV scene is still pure comedic gold.
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by yasminleghrid 20 Jan 2026
Behöver köra en warm up inför 2an 🤓🤓🤓
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by Cracklos 20 Jan 2026
6
Me encanta, pero solo le faltó una escena de sexo y sería como una de Scorsese
1 like"
3,★★★,2026-01-20,"★★★ Rewatched by zagawin 20 Jan 2026
Boyfriend material
No likes yet"
,,2026-01-20,"Watched by elin 20 Jan 2026
I’m so ready for 2
No likes yet"
,,2026-01-20,"Rewatched by Katia B 20 Jan 2026
Pas assez dispo intellectuellement, j'ai revu Zootopie, et j'ai pris un coup de nostalgie.
No likes yet"
5,★★★★★,2026-01-21,"★★★★★
Watched by zehradamar 21 Jan 2026
Basyapit
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by Seven 20 Jan 2026
Essa raposa tem O MOLHO
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Watched by KeiraJayne234 20 Jan 2026
brilliant
No likes yet"
3.5,★★★½,2026-01-18,"★★★½
Watched by Laura Goldoni 18 Jan 2026
Rivisto e trovato molto carino, soprattutto nel world building. Forse forse il secondo mi ha preso anche di più ma direi che sono a livello.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by manu ★ 20 Jan 2026
bendita hora que colocaram o Rodrigo Lombardi pra dublar essa raposa 🫦
No likes yet"
3.5,★★★½,2026-01-14,"★★★½ Rewatched by Emilee 14 Jan 2026
1
I love all the accommodations to the different animals going about their lives :3
No likes yet"
